Store_ID,Product_ID,Category,Region,Holiday,Promotion,Weather,Temperature,Fuel_Price,CPI,Unemployment,Inventory,Price,Competitor_Price,Discount,Customers,Year,Month,Day,Week,Quarter,Day_Name,Month_Name,Weekend,Season,Inventory_Per_Customer,Price_Difference,Discount_Amount,Final_Price,Sales_Per_Customer,Promotion_Impact,Predicted_Sales
45,1060,5,2,1,1,2,11.4,115.94,284.48,11.88,54,928.64,915.23,14,399,2024,1,12,2,1,0,4,0,3,0.135,13.409999999999968,130.00959999999998,798.6304,0.4575,14,185.07142857142858
14,1045,0,2,1,0,1,16.0,102.58,275.6,4.57,218,869.81,869.83,4,406,2023,11,10,45,4,0,9,0,0,0.5356265356265356,-0.0200000000000954,34.7924,835.0175999999999,0.1351351351351351,0,57.06666666666667
6,1197,6,1,0,1,2,33.6,113.72,185.43,6.75,741,630.41,641.41,29,407,2024,4,19,16,2,0,0,0,2,1.8161764705882355,-11.0,182.8189,447.5911,0.3602941176470588,29,146.0909090909091
25,1032,6,2,0,1,2,31.1,85.67,184.37,9.4,770,1104.22,1144.99,27,251,2024,4,28,17,2,3,0,1,2,3.055555555555556,-40.76999999999998,298.1394,806.0806,0.3849206349206349,27,95.42857142857143
5,1030,6,3,0,0,0,17.4,113.46,263.58,3.34,569,958.81,931.87,15,196,2024,11,28,48,4,4,9,0,0,2.8883248730964466,26.93999999999994,143.8215,814.9884999999999,0.1421319796954314,0,28.2
11,1070,6,2,1,0,2,13.1,115.56,188.8,8.77,130,402.16,380.41,25,344,2023,2,25,8,1,2,3,1,3,0.3768115942028985,21.75,100.54,301.62,0.2115942028985507,0,72.8
4,1115,6,2,1,1,1,26.8,104.86,193.77,4.85,355,633.95,660.13,41,196,2023,2,5,5,1,3,3,1,3,1.802030456852792,-26.17999999999995,259.9195,374.0305,0.3350253807106599,41,66.5
15,1027,3,1,0,0,1,29.1,91.98,209.77,4.92,470,1922.43,1797.96,41,386,2024,7,5,27,3,0,5,0,1,1.2144702842377262,124.47000000000004,788.1963000000001,1134.2337,0.1111111111111111,0,43.42857142857143
12,1013,1,3,1,1,0,35.8,104.54,231.76,6.69,354,1588.9,1513.31,0,439,2024,3,1,9,1,0,7,0,2,0.8045454545454546,75.59000000000015,0.0,1588.9,0.4431818181818182,0,195.44827586206895
29,1143,2,3,1,1,1,28.1,117.53,247.47,4.22,338,1798.04,1701.27,17,496,2023,8,21,34,3,1,1,0,1,0.6800804828973843,96.76999999999998,305.6668,1492.3732,0.4285714285714285,17,212.66666666666666
